"dataset","variant","strategy","metric","cell_status","enrichment_status","n_snp_in_class1","n_class1_total","n_snp_total_truth","fisher_p","fisher_p_bonferroni","max_overlap_cluster","max_overlap_OR"
"GISAID_US","Kappa","disjoint_2m","hellinger_Tpred","ok","ok",3,45,4,0.0972515856236786,1,2,9.26536501343648
"GISAID_US","Kappa","sliding_2m","entropy","ok","ok",3,45,4,0.0782921707829217,1,4,Inf
"GISAID_US","Kappa","sliding_2m","hellinger_T1","ok","ok",3,45,4,0.119450317124736,1,2,7.95578653361244
"GISAID_US","Kappa","sliding_2m","hellinger_Tpred","ok","ok",3,45,4,0.0972515856236786,1,2,9.26536501343648
"GISAID_US","Lambda","cumulative_1m","entropy","ok","fisher_failed",0,45,0,NA,NA,NA,NA
"GISAID_US","Lambda","cumulative_1m","hellinger_T1","ok","fisher_failed",0,45,0,NA,NA,NA,NA
"GISAID_US","Lambda","cumulative_1m","hellinger_Tpred","ok","fisher_failed",0,45,0,NA,NA,NA,NA
"GISAID_US","Lambda","disjoint_2m","entropy","ok","fisher_failed",0,45,0,NA,NA,NA,NA
"GISAID_US","Lambda","disjoint_2m","hellinger_T1","ok","ok",0,45,0,1,1,1,0
"GISAID_US","Lambda","disjoint_2m","hellinger_Tpred","ok","ok",0,45,0,1,1,1,0
"GISAID_US","Lambda","sliding_2m","entropy","ok","fisher_failed",0,45,0,NA,NA,NA,NA
"GISAID_US","Lambda","sliding_2m","hellinger_T1","ok","ok",0,45,0,1,1,1,0
"GISAID_US","Lambda","sliding_2m","hellinger_Tpred","ok","ok",0,45,0,1,1,1,0
"GISAID_US","Omicron","cumulative_1m","entropy","ok","ok",21,49,29,0.0447693612496229,1,2,3.59221970666825
"GISAID_US","Omicron","cumulative_1m","hellinger_T1","ok","ok",21,49,29,0.267000099647808,1,1,3.09827595036202
"GISAID_US","Omicron","cumulative_1m","hellinger_Tpred","ok","ok",21,49,29,0.267000099647808,1,1,3.09827595036202
"GISAID_US","Omicron","disjoint_2m","entropy","ok","ok",21,49,29,0.659234076592341,1,3,2.13201318205879
"GISAID_US","Omicron","disjoint_2m","hellinger_T1","ok","ok",21,49,29,0.0010998900109989,0.241975802419758,3,10.0216284701955
"GISAID_US","Omicron","disjoint_2m","hellinger_Tpred","ok","ok",21,49,29,0.0007999200079992,0.175982401759824,3,10.0216284701955
"GISAID_US","Omicron","sliding_2m","entropy","ok","ok",21,49,29,0.151184881511849,1,2,2.4629987970426
"GISAID_US","Omicron","sliding_2m","hellinger_T1","ok","ok",21,49,29,0.0004999500049995,0.10998900109989,3,10.0216284701955
"GISAID_US","Omicron","sliding_2m","hellinger_Tpred","ok","ok",21,49,29,0.0002999700029997,0.065993400659934,3,10.0216284701955
"GISAID_US","Theta","cumulative_1m","entropy","ok","ok",0,44,0,1,1,1,0
"GISAID_US","Theta","cumulative_1m","hellinger_T1","ok","fisher_failed",0,44,0,NA,NA,NA,NA
"GISAID_US","Theta","cumulative_1m","hellinger_Tpred","ok","fisher_failed",0,44,0,NA,NA,NA,NA
"GISAID_US","Theta","disjoint_2m","entropy","ok","fisher_failed",0,44,0,NA,NA,NA,NA
"GISAID_US","Theta","disjoint_2m","hellinger_T1","ok","ok",0,44,0,1,1,1,0
"GISAID_US","Theta","disjoint_2m","hellinger_Tpred","ok","ok",0,44,0,1,1,1,0
"GISAID_US","Theta","sliding_2m","entropy","ok","fisher_failed",0,44,0,NA,NA,NA,NA
"GISAID_US","Theta","sliding_2m","hellinger_T1","ok","ok",0,44,0,1,1,1,0
"GISAID_US","Theta","sliding_2m","hellinger_Tpred","ok","ok",0,44,0,1,1,1,0
"GISAID_US","Zeta","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","disjoint_2m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","disjoint_2m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","disjoint_2m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","sliding_2m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","sliding_2m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Zeta","sliding_2m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Alpha","cumulative_1m","entropy","ok","ok",2,25,6,1,1,1,Inf
"NCBI_US","Alpha","cumulative_1m","hellinger_T1","ok","ok",2,25,6,1,1,1,Inf
"NCBI_US","Alpha","cumulative_1m","hellinger_Tpred","ok","ok",2,25,6,1,1,1,Inf
"NCBI_US","Alpha","disjoint_2m","entropy","ok","ok",2,25,6,1,1,1,Inf
"NCBI_US","Alpha","disjoint_2m","hellinger_T1","ok","ok",2,25,6,1,1,2,1.28628139055237
"NCBI_US","Alpha","disjoint_2m","hellinger_Tpred","ok","ok",2,25,6,1,1,2,1.28628139055237
"NCBI_US","Alpha","sliding_2m","entropy","ok","ok",2,25,6,0.458554144585541,1,4,15.9074125644911
"NCBI_US","Alpha","sliding_2m","hellinger_T1","ok","ok",2,25,6,1,1,2,1.28628139055237
"NCBI_US","Alpha","sliding_2m","hellinger_Tpred","ok","ok",2,25,6,1,1,2,1.28628139055237
"NCBI_US","Beta","cumulative_1m","entropy","ok","ok",4,25,6,1,1,1,Inf
"NCBI_US","Beta","cumulative_1m","hellinger_T1","ok","ok",4,25,6,1,1,1,Inf
"NCBI_US","Beta","cumulative_1m","hellinger_Tpred","ok","ok",4,25,6,0.294466403162056,1,1,Inf
"NCBI_US","Beta","disjoint_2m","entropy","ok","ok",4,25,6,1,1,1,Inf
"NCBI_US","Beta","disjoint_2m","hellinger_T1","ok","ok",4,25,6,0.933906609339066,1,3,4.57254179845367
"NCBI_US","Beta","disjoint_2m","hellinger_Tpred","ok","ok",4,25,6,0.536746325367463,1,3,4.57254179845367
"NCBI_US","Beta","sliding_2m","entropy","ok","ok",4,25,6,0.704429557044296,1,1,5.42604575297979
"NCBI_US","Beta","sliding_2m","hellinger_T1","ok","ok",4,25,6,0.417058294170583,1,2,4.57254179845367
"NCBI_US","Beta","sliding_2m","hellinger_Tpred","ok","ok",4,25,6,0.522047795220478,1,3,4.57254179845367
"NCBI_US","Delta","cumulative_1m","entropy","ok","ok",3,24,5,0.242075792420758,1,2,7.5327749080128
"NCBI_US","Delta","cumulative_1m","hellinger_T1","ok","ok",3,24,5,0.203079692030797,1,2,7.5327749080128
"NCBI_US","Delta","cumulative_1m","hellinger_Tpred","ok","ok",3,24,5,0.0276679841897233,1,2,Inf
"NCBI_US","Delta","disjoint_2m","entropy","ok","ok",3,24,5,0.0006999300069993,0.153984601539846,4,Inf
"NCBI_US","Delta","disjoint_2m","hellinger_T1","ok","ok",3,24,5,0.0004999500049995,0.10998900109989,4,Inf
"NCBI_US","Delta","disjoint_2m","hellinger_Tpred","ok","ok",3,24,5,0.0253974602539746,1,2,Inf
"NCBI_US","Delta","sliding_2m","entropy","ok","ok",3,24,5,0.0013998600139986,0.307969203079692,4,Inf
"NCBI_US","Delta","sliding_2m","hellinger_T1","ok","ok",3,24,5,0.222826086956522,1,1,Inf
"NCBI_US","Delta","sliding_2m","hellinger_Tpred","ok","ok",3,24,5,0.0252974702529747,1,2,Inf
"NCBI_US","Epsilon","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Epsilon","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Epsilon","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Epsilon","disjoint_2m","entropy","ok","ok",0,26,0,1,1,1,0
"NCBI_US","Epsilon","disjoint_2m","hellinger_T1","ok","ok",0,26,0,1,1,1,0
"NCBI_US","Epsilon","disjoint_2m","hellinger_Tpred","ok","ok",0,26,0,1,1,1,0
"NCBI_US","Epsilon","sliding_2m","entropy","ok","ok",0,26,0,1,1,1,0
"NCBI_US","Epsilon","sliding_2m","hellinger_T1","ok","ok",0,26,0,1,1,1,0
"NCBI_US","Epsilon","sliding_2m","hellinger_Tpred","ok","ok",0,26,0,1,1,1,0
"NCBI_US","Eta","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Eta","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Eta","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Eta","disjoint_2m","entropy","ok","ok",2,25,4,1,1,1,Inf
"NCBI_US","Eta","disjoint_2m","hellinger_T1","ok","ok",2,25,4,1,1,1,Inf
"NCBI_US","Eta","disjoint_2m","hellinger_Tpred","ok","ok",2,25,4,1,1,2,1.28628139055237
"NCBI_US","Eta","sliding_2m","entropy","ok","ok",2,25,4,1,1,1,Inf
"NCBI_US","Eta","sliding_2m","hellinger_T1","ok","ok",2,25,4,1,1,1,Inf
"NCBI_US","Eta","sliding_2m","hellinger_Tpred","ok","ok",2,25,4,0.821217878212179,1,2,5.91609928978318
"NCBI_US","Gamma","cumulative_1m","entropy","ok","ok",10,25,10,1,1,1,Inf
"NCBI_US","Gamma","cumulative_1m","hellinger_T1","ok","ok",10,25,10,1,1,1,Inf
"NCBI_US","Gamma","cumulative_1m","hellinger_Tpred","ok","ok",10,25,10,0.0201893072602455,1,1,Inf
"NCBI_US","Gamma","disjoint_2m","entropy","ok","ok",10,25,10,1,1,1,Inf
"NCBI_US","Gamma","disjoint_2m","hellinger_T1","ok","ok",10,25,10,9.99900009999e-05,0.021997800219978,3,Inf
"NCBI_US","Gamma","disjoint_2m","hellinger_Tpred","ok","ok",10,25,10,9.99900009999e-05,0.021997800219978,3,Inf
"NCBI_US","Gamma","sliding_2m","entropy","ok","ok",10,25,10,0.0005999400059994,0.131986801319868,3,79.0707077969709
"NCBI_US","Gamma","sliding_2m","hellinger_T1","ok","ok",10,25,10,9.99900009999e-05,0.021997800219978,2,Inf
"NCBI_US","Gamma","sliding_2m","hellinger_Tpred","ok","ok",10,25,10,9.99900009999e-05,0.021997800219978,3,Inf
"NCBI_US","Iota","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Iota","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Iota","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Iota","disjoint_2m","entropy","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Iota","disjoint_2m","hellinger_T1","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Iota","disjoint_2m","hellinger_Tpred","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Iota","sliding_2m","entropy","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Iota","sliding_2m","hellinger_T1","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Iota","sliding_2m","hellinger_Tpred","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Kappa","cumulative_1m","entropy","ok","ok",3,24,4,0.108689131086891,1,2,7.5327749080128
"NCBI_US","Kappa","cumulative_1m","hellinger_T1","ok","ok",3,24,4,0.080991900809919,1,2,7.5327749080128
"NCBI_US","Kappa","cumulative_1m","hellinger_Tpred","ok","ok",3,24,4,0.143280632411067,1,2,7.5327749080128
"NCBI_US","Kappa","disjoint_2m","entropy","ok","ok",3,24,4,0.0553944605539446,1,6,Inf
"NCBI_US","Kappa","disjoint_2m","hellinger_T1","ok","ok",3,24,4,1,1,1,1.77484382385537
"NCBI_US","Kappa","disjoint_2m","hellinger_Tpred","ok","ok",3,24,4,0.424957504249575,1,2,5.82033136172535
"NCBI_US","Kappa","sliding_2m","entropy","ok","ok",3,24,4,0.0092990700929907,1,4,Inf
"NCBI_US","Kappa","sliding_2m","hellinger_T1","ok","ok",3,24,4,1,1,1,1.77484382385537
"NCBI_US","Kappa","sliding_2m","hellinger_Tpred","ok","ok",3,24,4,1,1,1,1.77484382385537
"NCBI_US","Lambda","cumulative_1m","entropy","ok","fisher_failed",0,24,0,NA,NA,NA,NA
"NCBI_US","Lambda","cumulative_1m","hellinger_T1","ok","fisher_failed",0,24,0,NA,NA,NA,NA
"NCBI_US","Lambda","cumulative_1m","hellinger_Tpred","ok","ok",0,24,0,1,1,1,0
"NCBI_US","Lambda","disjoint_2m","entropy","ok","fisher_failed",0,24,0,NA,NA,NA,NA
"NCBI_US","Lambda","disjoint_2m","hellinger_T1","ok","ok",0,24,0,1,1,1,0
"NCBI_US","Lambda","disjoint_2m","hellinger_Tpred","ok","fisher_failed",0,24,0,NA,NA,NA,NA
"NCBI_US","Lambda","sliding_2m","entropy","ok","fisher_failed",0,24,0,NA,NA,NA,NA
"NCBI_US","Lambda","sliding_2m","hellinger_T1","ok","ok",0,24,0,1,1,1,0
"NCBI_US","Lambda","sliding_2m","hellinger_Tpred","ok","ok",0,24,0,1,1,1,0
"NCBI_US","Omicron","cumulative_1m","entropy","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","cumulative_1m","hellinger_T1","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","cumulative_1m","hellinger_Tpred","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","disjoint_2m","entropy","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","disjoint_2m","hellinger_T1","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","disjoint_2m","hellinger_Tpred","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","sliding_2m","entropy","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","sliding_2m","hellinger_T1","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Omicron","sliding_2m","hellinger_Tpred","out_of_coverage",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Theta","cumulative_1m","entropy","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Theta","cumulative_1m","hellinger_T1","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Theta","cumulative_1m","hellinger_Tpred","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Theta","disjoint_2m","entropy","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Theta","disjoint_2m","hellinger_T1","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Theta","disjoint_2m","hellinger_Tpred","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Theta","sliding_2m","entropy","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Theta","sliding_2m","hellinger_T1","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Theta","sliding_2m","hellinger_Tpred","ok","fisher_failed",0,25,0,NA,NA,NA,NA
"NCBI_US","Zeta","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Zeta","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Zeta","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"NCBI_US","Zeta","disjoint_2m","entropy","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Zeta","disjoint_2m","hellinger_T1","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Zeta","disjoint_2m","hellinger_Tpred","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Zeta","sliding_2m","entropy","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Zeta","sliding_2m","hellinger_T1","ok","ok",0,25,0,1,1,1,0
"NCBI_US","Zeta","sliding_2m","hellinger_Tpred","ok","ok",0,25,0,1,1,1,0
