"dataset","variant","strategy","metric","cell_status","cell_status_reason","predecessor_name","n_class1_sites","gmm_G","gmm_modelName","n_bins","n_frames","k_selected","silhouette_mean","metric_status","convergence_first_snp","convergence_first_mut","convergence_first_class1","walltime_s"
"GISAID_US","Eta","sliding_2m","entropy","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,5.00283932685852
"GISAID_US","Eta","sliding_2m","hellinger_T1","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,5.00283932685852
"GISAID_US","Eta","sliding_2m","hellinger_Tpred","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,5.00283932685852
"GISAID_US","Gamma","cumulative_1m","entropy","ok",NA,"Alpha",44,7,"V",20,16,2,0.45515626524186,"ok",3,4,4,7723.58933544159
"GISAID_US","Gamma","cumulative_1m","hellinger_T1","ok",NA,"Alpha",44,7,"V",20,16,4,0.574953512080971,"ok",3,4,4,7723.58933544159
"GISAID_US","Gamma","cumulative_1m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",20,16,4,0.589316004328673,"ok",3,4,4,7723.58933544159
"GISAID_US","Gamma","disjoint_2m","entropy","ok",NA,"Alpha",44,7,"V",10,6,5,0.401847239097204,"ok",3,6,6,4065.14653491974
"GISAID_US","Gamma","disjoint_2m","hellinger_T1","ok",NA,"Alpha",44,7,"V",10,6,2,0.667709998494719,"ok",3,5,5,4065.14653491974
"GISAID_US","Gamma","disjoint_2m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",10,6,2,0.671721689223066,"ok",3,5,5,4065.14653491974
"GISAID_US","Gamma","sliding_2m","entropy","ok",NA,"Alpha",44,7,"V",19,15,4,0.370512037105984,"ok",4,4,4,27633.5077614784
"GISAID_US","Gamma","sliding_2m","hellinger_T1","ok",NA,"Alpha",44,7,"V",19,15,2,0.65627483738923,"ok",9,3,4,27633.5077614784
"GISAID_US","Gamma","sliding_2m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",19,15,2,0.661918250172495,"ok",9,3,4,27633.5077614784
"GISAID_US","Iota","cumulative_1m","entropy","underpowered_bin","2 / 20 bins have < 30 seqs (worst = 2).","D614G",44,11,"V",20,0,NA,NA,NA,NA,NA,NA,6.26458549499512
"GISAID_US","Iota","cumulative_1m","hellinger_T1","underpowered_bin","2 / 20 bins have < 30 seqs (worst = 2).","D614G",44,11,"V",20,0,NA,NA,NA,NA,NA,NA,6.26458549499512
"GISAID_US","Iota","cumulative_1m","hellinger_Tpred","underpowered_bin","2 / 20 bins have < 30 seqs (worst = 2).","D614G",44,11,"V",20,0,NA,NA,NA,NA,NA,NA,6.26458549499512
"GISAID_US","Iota","disjoint_2m","entropy","underpowered_bin","1 / 10 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",10,0,NA,NA,NA,NA,NA,NA,4.1668221950531
"GISAID_US","Iota","disjoint_2m","hellinger_T1","underpowered_bin","1 / 10 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",10,0,NA,NA,NA,NA,NA,NA,4.1668221950531
"GISAID_US","Iota","disjoint_2m","hellinger_Tpred","underpowered_bin","1 / 10 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",10,0,NA,NA,NA,NA,NA,NA,4.1668221950531
"GISAID_US","Iota","sliding_2m","entropy","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,4.88840460777283
"GISAID_US","Iota","sliding_2m","hellinger_T1","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,4.88840460777283
"GISAID_US","Iota","sliding_2m","hellinger_Tpred","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,4.88840460777283
